Toehold switch number,ON/OFF,Probability,loop_number,toehold_length,stem_length,loop_size,end_length,MFE
134,3.3,0.517,1,2,4,7,3,-1.8
135,3.2,0.446,0,0,0,0,20,0
136,3.1,0.475,2,1,5,6,3,-3
137,2.9,0.537,0,0,0,0,20,0
138,2.9,0.765,0,0,0,0,20,0
139,2.6,0.535,0,0,0,0,20,0
140,2.6,0.706,0,0,0,0,20,0
141,2.2,0.642,0,0,0,0,20,0
142,2.1,0.435,0,0,0,0,20,0
143,2,0.557,1,4,3,6,4,-0.9
144,2,0.524,1,2,3,8,4,-2
145,2,0.451,1,10,3,4,0,-0.6
146,1.9,0.278,0,0,0,0,20,0
147,1.9,0.458,0,0,0,0,20,0
148,1.9,0.253,0,0,0,0,20,0
149,1.9,0.68,0,0,0,0,20,0
150,1.6,0.728,0,0,0,0,20,0
151,1.5,0.388,1,0,5,4,6,-1
152,1.4,0.598,1,11,2,4,1,-0.8
153,1.3,0.427,1,2,3,8,4,-2
154,1.3,0.422,1,6,3,7,1,-0.4
155,1.2,0.44,0,0,0,0,20,0
156,1.2,0.392,1,2,3,8,4,-2
157,1.2,0.698,0,0,0,0,20,0
158,1.2,0.562,0,0,0,0,20,0
159,1.1,0.288,1,0,4,12,0,-0.5
160,1.1,0.565,0,0,0,0,20,0
161,1.1,0.313,0,0,0,0,20,0
162,1.1,0.257,1,8,2,4,4,-0.3
163,1,0.716,1,2,3,10,2,-3.3
164,1,0.533,0,0,0,0,20,0
165,0.9,0.564,0,0,0,0,20,0
166,0.9,0.475,1,4,3,8,2,-0.4
167,0.9,0.541,1,5,5,4,1,-0.6
168,0.6,0.599,0,0,0,0,20,0
