,toehold switch,,,,,,,,RNA input,,,,,,
Toehold switch number,ON/OFF,Probability,loop_number,toehold_length,stem_length,loop_size,end_length,MFE,Probability2,loop_number2,toehold_length2,stem_length2,loop_size2,end_length2,MFE2
61,30,0.247,0,0,0,0,20,0,0.357,1,2,3,9,2,-3
62,29.4,0.373,0,0,0,0,20,0,0.118,2,0,4,10,1,-0.8
63,29.3,0.372,0,0,0,0,20,0,0.347,2,0,4,7,4,-1.9
64,29.1,0.493,0,0,0,0,20,0,0.347,2,0,4,7,4,-1.9
65,27.4,0.361,1,7,2,5,4,-0.8,0.216,2,0,4,10,1,-1.3
66,26.2,0.294,2,1,4,7,4,-2.4,0.557,1,3,4,6,2,-4.8
67,24.9,0.576,0,0,0,0,20,0,0.653,1,0,2,6,9,-2.2
68,24.8,0.421,1,2,4,10,0,-0.9,0.347,2,0,4,7,4,-1.9
69,24.5,0.451,2,2,4,7,3,-1.3,0.168,2,0,5,5,4,-2.1
70,24.1,0.395,1,4,4,6,2,-0.3,0.347,2,0,4,7,4,-1.9
71,23.9,0.676,1,10,2,4,2,-1.1,0.635,1,0,4,9,2,-2.5
72,23.3,0.276,1,1,4,11,0,-1.3,0.347,2,0,4,7,4,-1.9
73,22.8,0.419,0,0,0,0,20,0,0.159,2,4,5,4,1,-1.4
74,22.5,0.495,1,4,5,5,1,-0.9,0.624,1,1,3,11,1,-2.2
75,22.3,0.234,0,0,0,0,20,0,0.673,1,0,2,7,8,-1.9
76,22,0.494,0,0,0,0,20,0,0.421,1,0,3,5,8,-2.6
77,21,0.446,0,0,0,0,20,0,0.746,1,1,4,10,0,-3.2
78,19.9,0.223,2,1,5,8,1,-0.6,0.55,1,0,2,6,9,-2.2
79,19.7,0.285,1,2,3,9,3,-1.5,0.437,1,0,2,13,2,-1.3
80,19.5,0.308,2,2,5,5,3,-0.2,0.567,1,0,4,8,3,-3.3
31,62,0.278,2,1,5,6,3,-0.8,0.503,1,0,4,6,5,-2.8
32,59.4,0.322,0,0,0,0,20,0,0.928,1,0,5,3,6,-4.8
33,58.5,0.43,1,4,4,7,1,-0.6,0.374,1,3,4,4,4,-2.7
34,57.1,0.39,0,0,0,0,20,0,0.886,1,0,3,7,6,-3.1
35,53.9,0.358,0,0,0,0,20,0,0.427,0,0,0,0,19,0
36,53.4,0.405,0,0,0,0,20,0,0.479,1,0,2,9,6,-1.7
37,52.7,0.565,0,0,0,0,20,0,0.349,1,0,4,5,6,-2.7
38,51,0.613,0,0,0,0,20,0,0.169,1,6,4,5,0,-0.3
39,48.7,0.401,0,0,0,0,20,0,0.362,2,1,6,6,0,-6
101,13.1,0.519,1,0,3,4,10,-1.4,0.347,2,0,4,7,4,-1.9
102,12.7,0.303,1,8,2,5,3,-1.4,0.316,2,0,6,7,0,-5
103,12.4,0.47,0,0,0,0,20,0,0.184,1,0,2,3,12,-0.5
104,12.2,0.64,1,0,2,13,3,-1.3,0.723,1,0,5,7,2,-3.2
105,11.4,0.416,1,2,3,8,4,-0.5,0.808,1,3,3,3,7,-2
106,11,0.444,0,0,0,0,20,0,0.455,1,1,3,5,7,-2.3
107,10.3,0.679,0,0,0,0,20,0,0.665,1,4,5,3,2,-6.9
108,9.9,0.277,0,0,0,0,20,0,0.475,1,1,3,4,8,-2.2
109,9.8,0.503,1,5,5,3,2,-1.5,0.867,1,4,3,5,3,-4.3
110,9.7,0.453,0,0,0,0,20,0,0.68,1,5,3,4,4,-1.7
111,9.6,0.504,0,0,0,0,20,0,0.355,1,1,4,3,7,-4.9
112,9.4,0.402,0,0,0,0,20,0,0.347,2,0,4,7,4,-1.9
113,9,0.636,0,0,0,0,20,0,0.448,1,2,3,3,8,-1.1
114,8.9,0.347,0,0,0,0,20,0,0.739,2,1,5,7,1,-6.6
115,8.9,0.266,0,0,0,0,20,0,0.185,1,0,2,3,12,-0.5
116,8.7,0.744,1,10,2,4,2,-1.1,0.669,1,9,2,5,1,-3.1
117,8.5,0.896,1,2,3,5,7,-2.2,0.347,2,0,4,7,4,-1.9
118,8.4,0.45,1,8,3,5,1,-1.7,0.344,0,0,0,0,19,0
119,8.1,0.576,0,0,0,0,20,0,0.637,1,3,4,3,5,-2.5
120,7.7,0.641,2,0,4,4,8,-2.4,0.383,1,1,2,4,10,-1.7
121,7.4,0.303,0,0,0,0,20,0,0.347,2,0,4,7,4,-1.9
122,7.3,0.4,0,0,0,0,20,0,0.324,2,2,5,7,0,-2.3
